gene_id	n_reads	n_amb	gid	gname	overlapped	rescue_frac
ENSG00000008988	3618887	0.0	ENSG00000008988	RPS20	False	0.0
ENSG00000009307	713661	0.0	ENSG00000009307	CSDE1	False	0.0
ENSG00000009335	126553	0.0	ENSG00000009335	UBE3C	False	0.0
ENSG00000009413	254990	177.0	ENSG00000009413	REV3L	True	0.0006941448684262128
ENSG00000009694	33747	0.0	ENSG00000009694	TENM1	False	0.0
ENSG00000009709	1133	0.0	ENSG00000009709	PAX7	False	0.0
ENSG00000009724	7500	0.0	ENSG00000009724	MASP2	False	0.0
ENSG00000009780	54377	0.0	ENSG00000009780	FAM76A	False	0.0
ENSG00000009790	207770	0.0	ENSG00000009790	TRAF3IP3	False	0.0
ENSG00000009830	17011	0.0	ENSG00000009830	POMT2	False	0.0
ENSG00000009844	80277	0.0	ENSG00000009844	VTA1	False	0.0
ENSG00000009950	5813	6.0	ENSG00000009950	MLXIPL	True	0.001032169275761225
ENSG00000009954	158019	0.0	ENSG00000009954	BAZ1B	False	0.0
ENSG00000010017	63358	0.0	ENSG00000010017	RANBP9	False	0.0
ENSG00000010030	4475	0.0	ENSG00000010030	ETV7	False	0.0
ENSG00000010072	65381	0.0	ENSG00000010072	SPRTN	False	0.0
ENSG00000010165	37412	9.0	ENSG00000010165	METTL13	False	0.00024056452475141666
ENSG00000010219	49765	0.0	ENSG00000010219	DYRK4	False	0.0
ENSG00000010244	545284	0.0	ENSG00000010244	ZNF207	False	0.0
ENSG00000010256	189803	0.0	ENSG00000010256	UQCRC1	False	0.0
ENSG00000010270	96009	0.0	ENSG00000010270	STARD3NL	False	0.0
ENSG00000010278	66594	0.0	ENSG00000010278	CD9	False	0.0
ENSG00000010282	29231	0.0	ENSG00000010282	HHATL	False	0.0
ENSG00000010292	91545	2.0	ENSG00000010292	NCAPD2	True	2.1847178983013817e-05
ENSG00000010295	31452	0.0	ENSG00000010295	IFFO1	False	0.0
ENSG00000010310	7954	0.0	ENSG00000010310	GIPR	False	0.0
ENSG00000010318	26406	0.0	ENSG00000010318	PHF7	False	0.0
ENSG00000010319	3199	0.0	ENSG00000010319	SEMA3G	False	0.0
ENSG00000010322	71829	0.0	ENSG00000010322	NISCH	False	0.0
ENSG00000010327	39134	0.0	ENSG00000010327	STAB1	False	0.0
ENSG00000010361	18607	0.0	ENSG00000010361	FUZ	False	0.0
ENSG00000010379	2499	1.0	ENSG00000010379	SLC6A13	True	0.00040016006402561027
ENSG00000010404	237625	608.0	ENSG00000010404	IDS	True	0.002558653340347186
ENSG00000010438	17438	0.0	ENSG00000010438	PRSS3	True	0.0
ENSG00000010539	18080	6.0	ENSG00000010539	ZNF200	False	0.000331858407079646
ENSG00000010610	58951	0.0	ENSG00000010610	CD4	False	0.0
ENSG00000010626	29625	7694.0	ENSG00000010626	LRRC23	True	0.25971308016877637
ENSG00000010671	41188	0.0	ENSG00000010671	BTK	False	0.0
ENSG00000010704	5587	0.0	ENSG00000010704	HFE	False	0.0
ENSG00000010803	49204	0.0	ENSG00000010803	SCMH1	False	0.0
ENSG00000010810	300572	0.0	ENSG00000010810	FYN	False	0.0
ENSG00000010818	48543	0.0	ENSG00000010818	HIVEP2	False	0.0
ENSG00000010932	952	0.0	ENSG00000010932	FMO1	False	0.0
