release	srr	gse	species	platform	ena_assay	biology_group	description	pipeline	isoquant_status	isoquant_cells	isoquant_cells_method	isoquant_transcripts	annotation_status	annotation_method	metadata_resolution
scTHREAD_NAR_release_20260803	SRR16248589	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248590	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248591	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248592	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248593	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248594	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248595	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248596	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248597	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
scTHREAD_NAR_release_20260803	SRR16248598	GSE185554	mouse	ONT	scONT-plate	Developmental atlas	Arterial and hemogenic endothelial cells during embryonic hematopoiesis	EXCLUDE	done	1	smartseq2_one_well		annotated	computational_v2	
