gene	pval	effect	n_pas	qval	sig
ENSG00000160908	0.000999000999000999	0.42142857142857143	38	0.0034784714626611857	True
ENSG00000160991	0.000999000999000999	0.22921452009844134	32	0.0034784714626611857	True
ENSG00000156787	0.000999000999000999	0.43297974927675986	33	0.0034784714626611857	True
ENSG00000284024	0.000999000999000999	0.44316996871741393	14	0.0034784714626611857	True
ENSG00000284691	0.000999000999000999	0.3655722808265181	7	0.0034784714626611857	True
ENSG00000011198	0.000999000999000999	0.586134598537272	29	0.0034784714626611857	True
ENSG00000011243	0.000999000999000999	0.25610244097639057	9	0.0034784714626611857	True
ENSG00000287190	0.000999000999000999	0.446713662616905	6	0.0034784714626611857	True
ENSG00000013275	0.000999000999000999	0.06310580554665089	10	0.0034784714626611857	False
ENSG00000013288	0.000999000999000999	0.22222222222222227	20	0.0034784714626611857	True
ENSG00000013374	0.000999000999000999	0.30296299741842453	32	0.0034784714626611857	True
ENSG00000011454	0.000999000999000999	0.42436902403307775	46	0.0034784714626611857	True
ENSG00000284707	0.000999000999000999	0.6732353247836513	26	0.0034784714626611857	True
ENSG00000285410	0.000999000999000999	0.29901351845085855	14	0.0034784714626611857	True
ENSG00000285646	0.000999000999000999	0.29363409693002956	10	0.0034784714626611857	True
ENSG00000285693	0.000999000999000999	0.5328866346901737	11	0.0034784714626611857	True
ENSG00000285967	0.000999000999000999	0.3336381775856336	31	0.0034784714626611857	True
ENSG00000011260	0.000999000999000999	0.47920792079207924	19	0.0034784714626611857	True
ENSG00000286177	0.000999000999000999	0.47173450088608915	18	0.0034784714626611857	True
ENSG00000157193	0.000999000999000999	0.32461406518010294	31	0.0034784714626611857	True
ENSG00000157216	0.000999000999000999	0.332878750309943	20	0.0034784714626611857	True
ENSG00000157259	0.000999000999000999	0.26455026455026454	18	0.0034784714626611857	True
ENSG00000156958	0.000999000999000999	0.3498790390824891	32	0.0034784714626611857	True
ENSG00000156973	0.000999000999000999	0.19100790513833987	10	0.0034784714626611857	False
ENSG00000156976	0.000999000999000999	0.15316710225647576	40	0.0034784714626611857	False
ENSG00000157823	0.000999000999000999	0.41799301178852494	29	0.0034784714626611857	True
ENSG00000157837	0.000999000999000999	0.22624734607218683	16	0.0034784714626611857	True
ENSG00000161217	0.000999000999000999	0.4807692307692308	35	0.0034784714626611857	True
ENSG00000161405	0.000999000999000999	0.2668342410277894	30	0.0034784714626611857	True
ENSG00000161533	0.000999000999000999	0.47722830915013326	25	0.0034784714626611857	True
ENSG00000161547	0.000999000999000999	0.13751404718108573	27	0.0034784714626611857	False
ENSG00000156304	0.000999000999000999	0.45938628158844763	30	0.0034784714626611857	True
ENSG00000156398	0.000999000999000999	0.3279660267185703	17	0.0034784714626611857	True
ENSG00000156411	0.000999000999000999	0.12467007613571422	6	0.0034784714626611857	False
ENSG00000156467	0.000999000999000999	0.09750133605951593	28	0.0034784714626611857	False
ENSG00000012963	0.000999000999000999	0.3422924901185771	15	0.0034784714626611857	True
ENSG00000280789	0.000999000999000999	0.241723068355155	12	0.0034784714626611857	True
ENSG00000017797	0.000999000999000999	0.22269732536323575	20	0.0034784714626611857	True
ENSG00000018280	0.000999000999000999	0.7163200520482792	10	0.0034784714626611857	True
ENSG00000018510	0.000999000999000999	0.42185911401597675	43	0.0034784714626611857	True
ENSG00000156531	0.000999000999000999	0.6059177795234354	29	0.0034784714626611857	True
