gene	pval	effect	n_iso	qval	sig
ENSG00000163050	0.000999000999000999	0.15818033667932244	4	0.004933419521654815	False
ENSG00000163131	0.000999000999000999	0.34883568231594014	17	0.004933419521654815	True
ENSG00000163156	0.000999000999000999	0.3405496038275041	7	0.004933419521654815	True
ENSG00000186468	0.000999000999000999	0.06947549498256775	9	0.004933419521654815	False
ENSG00000186517	0.000999000999000999	0.21878768644874647	7	0.004933419521654815	True
ENSG00000126005	0.000999000999000999	0.4442176870748299	11	0.004933419521654815	True
ENSG00000126088	0.000999000999000999	0.16832569279901105	23	0.004933419521654815	False
ENSG00000120697	0.000999000999000999	0.4991174473862864	23	0.004933419521654815	True
ENSG00000048649	0.000999000999000999	0.1544361468895588	12	0.004933419521654815	False
ENSG00000048828	0.000999000999000999	0.15024492787163468	7	0.004933419521654815	False
ENSG00000162910	0.000999000999000999	0.2970943367114182	26	0.004933419521654815	True
ENSG00000162923	0.000999000999000999	0.26767373194136873	14	0.004933419521654815	True
ENSG00000162959	0.000999000999000999	0.4880952380952381	6	0.004933419521654815	True
ENSG00000162976	0.000999000999000999	0.40494978479196553	7	0.004933419521654815	True
ENSG00000163001	0.000999000999000999	0.870748299319728	7	0.004933419521654815	True
ENSG00000163041	0.000999000999000999	0.27641054989037944	10	0.004933419521654815	True
ENSG00000167699	0.000999000999000999	0.6907894736842104	10	0.004933419521654815	True
ENSG00000167766	0.000999000999000999	0.12552742616033755	17	0.004933419521654815	False
ENSG00000167770	0.000999000999000999	0.17221474100008974	7	0.004933419521654815	False
ENSG00000163399	0.000999000999000999	0.31714882065362565	10	0.004933419521654815	True
ENSG00000042088	0.000999000999000999	0.3416666666666667	14	0.004933419521654815	True
ENSG00000046651	0.000999000999000999	0.47953190743338014	21	0.004933419521654815	True
ENSG00000047249	0.000999000999000999	0.37661755836994915	12	0.004933419521654815	True
ENSG00000047579	0.000999000999000999	0.27071719386157217	11	0.004933419521654815	True
ENSG00000163257	0.000999000999000999	0.28461177635126644	3	0.004933419521654815	True
ENSG00000163319	0.000999000999000999	0.42487799924100295	7	0.004933419521654815	True
ENSG00000167604	0.000999000999000999	0.2819047619047619	7	0.004933419521654815	True
ENSG00000167615	0.000999000999000999	0.12462521389541839	7	0.004933419521654815	False
ENSG00000167641	0.000999000999000999	0.0465595385249279	5	0.004933419521654815	False
ENSG00000167642	0.000999000999000999	0.2823735155360338	6	0.004933419521654815	True
ENSG00000167645	0.000999000999000999	0.13293370020964362	14	0.004933419521654815	False
ENSG00000167671	0.000999000999000999	0.6342494714587738	7	0.004933419521654815	True
ENSG00000054116	0.000999000999000999	0.38084224336735034	9	0.004933419521654815	True
ENSG00000054148	0.000999000999000999	0.08023273939753461	6	0.004933419521654815	False
ENSG00000126524	0.000999000999000999	0.20670378397840541	13	0.004933419521654815	True
ENSG00000126698	0.000999000999000999	0.11004699955189064	5	0.004933419521654815	False
ENSG00000126756	0.000999000999000999	0.02471551791473384	5	0.004933419521654815	False
ENSG00000126777	0.000999000999000999	0.25436442080314353	21	0.004933419521654815	True
ENSG00000120438	0.000999000999000999	0.2477685759137015	16	0.004933419521654815	True
ENSG00000120533	0.000999000999000999	0.23138743445948903	15	0.004933419521654815	True
ENSG00000162639	0.000999000999000999	0.24578389886657775	6	0.004933419521654815	True
ENSG00000162704	0.000999000999000999	0.32313767971111895	5	0.004933419521654815	True
ENSG00000167792	0.000999000999000999	0.15897521547906449	21	0.004933419521654815	False
ENSG00000167797	0.000999000999000999	0.039052190229766914	5	0.004933419521654815	False
ENSG00000167863	0.000999000999000999	0.04618080044189473	5	0.004933419521654815	False
ENSG00000167978	0.000999000999000999	0.20239144262115394	22	0.004933419521654815	True
ENSG00000167996	0.000999000999000999	0.16654274281297277	11	0.004933419521654815	False
ENSG00000162819	0.000999000999000999	0.5119117647058824	8	0.004933419521654815	True
