release_candidate	srr	gse	species	platform	isoquant_cells	isoquant_transcripts_documented	isoquant_transcripts_registry	gene_counts_available	gene_counts_bytes	transcript_counts_available	transcript_counts_bytes	read_assignments_available	read_assignments_bytes	transcript_models_available	transcript_models_bytes	extended_annotation_available	extended_annotation_bytes	discovered_transcript_counts_available	discovered_transcript_counts_bytes	diu_available	diu_bytes	apa_available	apa_bytes	junction_available	junction_bytes	ase_available	ase_bytes	file_contract_status
scTHREAD_NAR_release_20260803	SRR16248578	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248579	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248581	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248582	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248583	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248584	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248585	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248586	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248587	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248588	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248589	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248590	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248591	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248592	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248593	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248594	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248595	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248596	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248597	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
scTHREAD_NAR_release_20260803	SRR16248598	GSE185554	mouse	ONT	1	False		False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	False	0	membership_only
