srr	gse	manifest_cells	ondisk_barcodes	isoquant_path	status
SRR32322923	GSE289428	1.0		data/isoquant_smartseq2/GSE289428	no_barcode_file
SRR32322924	GSE289428	1.0		data/isoquant_smartseq2/GSE289428	no_barcode_file
SRR32370261	GSE289790	2030.0	2030.0	data/isoquant/GSE289790/SRR32370261	match
SRR32370262	GSE289790	1985.0	1985.0	data/isoquant/GSE289790/SRR32370262	match
SRR32771574	GSE292324	8104.0	226695.0	data/isoquant_pacbio/GSE292324/SRR32771574	mismatch
SRR32771575	GSE292324	8097.0	205759.0	data/isoquant_pacbio/GSE292324/SRR32771575	mismatch
SRR32771576	GSE292324	7371.0	255461.0	data/isoquant_pacbio/GSE292324/SRR32771576	mismatch
SRR32771577	GSE292324	7367.0	244522.0	data/isoquant_pacbio/GSE292324/SRR32771577	mismatch
SRR32771578	GSE292324	5187.0	187873.0	data/isoquant_pacbio/GSE292324/SRR32771578	mismatch
SRR32771579	GSE292324	7425.0	201332.0	data/isoquant_pacbio/GSE292324/SRR32771579	mismatch
SRR32771580	GSE292324	5195.0	175011.0	data/isoquant_pacbio/GSE292324/SRR32771580	mismatch
SRR32771581	GSE292324	6761.0	189040.0	data/isoquant_pacbio/GSE292324/SRR32771581	mismatch
SRR33259865	GSE295352	2754.0	2754.0	data/isoquant/GSE295352/SRR33259865	match
SRR33259866	GSE295352	2647.0	2647.0	data/isoquant/GSE295352/SRR33259866	match
SRR33259867	GSE295352	1594.0	6786.0	data/isoquant/GSE295352/SRR33259867	mismatch
SRR35432392	GSE295352	3552.0	3552.0	data/isoquant/GSE295352/SRR35432392	match
SRR35432393	GSE295352	3839.0	3839.0	data/isoquant/GSE295352/SRR35432393	match
SRR35432394	GSE295352	3372.0	3372.0	data/isoquant/GSE295352/SRR35432394	match
SRR33259246	GSE295353	26635.0	26635.0	data/isoquant/GSE295353/SRR33259246	match
SRR33259247	GSE295353	45303.0	45303.0	data/isoquant/GSE295353/SRR33259247	match
SRR33259248	GSE295353	1554.0	1554.0	data/isoquant/GSE295353/SRR33259248	match
SRR35432458	GSE295353	6398.0	6398.0	data/isoquant/GSE295353/SRR35432458	match
SRR35432459	GSE295353	9513.0	9513.0	data/isoquant/GSE295353/SRR35432459	match
SRR35432460	GSE295353	1560.0	1560.0	data/isoquant/GSE295353/SRR35432460	match
SRR33369385	GSE295932	2911.0	2911.0	data/isoquant/GSE295932/SRR33369385	match
SRR33369386	GSE295932	5362.0	5362.0	data/isoquant/GSE295932/SRR33369386	match
SRR33369387	GSE295932	5968.0	5968.0	data/isoquant/GSE295932/SRR33369387	match
SRR33369388	GSE295932	7382.0	7382.0	data/isoquant/GSE295932/SRR33369388	match
SRR34364189	GSE301658	3831.0	3831.0	data/isoquant/GSE301658/SRR34364189	match
SRR30947478	GSE303762	66691.0	66691.0	data/isoquant/GSE303762/SRR30947478	match
SRR30947479	GSE303762	5109.0	5109.0	data/isoquant/GSE303762/SRR30947479	match
SRR35267327	GSE307660	3190.0	3190.0	data/isoquant/GSE307660/SRR35267327	match
SRR35267329	GSE307660	4255.0	4255.0	data/isoquant/GSE307660/SRR35267329	match
SRR35267330	GSE307660	2280.0	2280.0	data/isoquant/GSE307660/SRR35267330	match
SRR35267331	GSE307660	2906.0	2906.0	data/isoquant/GSE307660/SRR35267331	match
SRR35267333	GSE307660	3932.0	3932.0	data/isoquant/GSE307660/SRR35267333	match
SRR35267334	GSE307660	4885.0	4885.0	data/isoquant/GSE307660/SRR35267334	match
SRR35267335	GSE307660	2890.0	2890.0	data/isoquant/GSE307660/SRR35267335	match
SRR35267336	GSE307660	1232.0	1232.0	data/isoquant/GSE307660/SRR35267336	match
SRR35267337	GSE307660	1005.0	1005.0	data/isoquant/GSE307660/SRR35267337	match
SRR35267338	GSE307660	5339.0	5339.0	data/isoquant/GSE307660/SRR35267338	match
SRR35267339	GSE307660	8842.0	8842.0	data/isoquant/GSE307660/SRR35267339	match
SRR35267340	GSE307660	3075.0	3075.0	data/isoquant/GSE307660/SRR35267340	match
SRR35267341	GSE307660	3540.0	3540.0	data/isoquant/GSE307660/SRR35267341	match
SRR35267342	GSE307660	2481.0	2481.0	data/isoquant/GSE307660/SRR35267342	match
SRR35267343	GSE307660	2287.0	2287.0	data/isoquant/GSE307660/SRR35267343	match
SRR35267344	GSE307660	4020.0	4020.0	data/isoquant/GSE307660/SRR35267344	match
SRR35267345	GSE307660	2137.0	2137.0	data/isoquant/GSE307660/SRR35267345	match
SRR35586147	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586148	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586149	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586150	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586151	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586152	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586153	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586154	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586155	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586156	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586157	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586158	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586159	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586160	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586161	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586162	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586163	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586164	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586165	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586166	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586167	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586168	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586169	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586170	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586171	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586172	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586173	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586174	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586175	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586176	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586177	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586178	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586179	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586180	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586181	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586182	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586183	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586184	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586185	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586186	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586187	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586188	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586189	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586190	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586191	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586192	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586193	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586194	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586195	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586197	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586198	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586199	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586200	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586201	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586202	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586203	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586204	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586205	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586206	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586207	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586208	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586209	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586210	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586211	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586212	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586213	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586215	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586217	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586218	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586219	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586220	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586222	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586223	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586225	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586227	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586228	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586229	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586230	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586231	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586232	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586233	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586234	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586235	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586236	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586237	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586238	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586239	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586240	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586241	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586242	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586243	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586244	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586245	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586246	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586247	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586248	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586249	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586250	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586251	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586252	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
SRR35586253	GSE309071	1.0		data/isoquant_smartseq2/GSE309071	no_barcode_file
