statistic	pval	effect_equal_donor	effect_pooled_counts	hi_celltype	lo_celltype	n_features	n_celltypes	n_donors	min_donors_per_celltype	max_donors_per_celltype	gene	qval	sig
0.001983000396631307	0.00999000999000999	0.03794130688152425	0.03806932504115601	T cell	B cell	2	4	7	3	7	ENSG00000291201	0.5113636363636364	False
0.0013249893065057036	0.00999000999000999	0.21316129661523142	0.26906868942267176	Monocyte	NK	2	4	7	3	7	GK	0.5113636363636364	False
0.00022723479303779444	0.00999000999000999	0.3190587226407626	0.23631109345085433	T cell	Dendritic cell	2	5	7	3	6	RNPC3	0.5113636363636364	False
0.0020336940307057244	0.00999000999000999	0.2521913981448	0.2781232485521364	Dendritic cell	T cell	2	6	12	3	11	SEPTIN11	0.5113636363636364	False
0.0027771917674967567	0.00999000999000999	0.15710651448583557	0.2279850102986144	Erythroid	B cell	2	4	7	4	6	SLC35E3	0.5113636363636364	False
0.00012433552494072944	0.01098901098901099	0.13248694660103616	0.08258092254775506	T cell	B cell	2	4	10	3	10	CSF2RA	0.5113636363636364	False
0.0003841650460453338	0.01098901098901099	0.3417601774918848	0.23842015089122007	Dendritic cell	Plasma cell	2	7	9	3	9	ENSG00000274383	0.5113636363636364	False
0.0007397015653894275	0.01098901098901099	0.07804837244341234	0.15400138376383765	Erythroid	B cell	2	4	8	3	7	FAM111A	0.5113636363636364	False
0.000607800854405036	0.01098901098901099	0.1946907672406421	0.1964285714285714	Dendritic cell	Erythroid	2	3	7	3	7	GINS2	0.5113636363636364	False
0.0013405473161056465	0.01098901098901099	0.1619832841676545	0.10866713752396329	T cell	Monocyte	2	4	7	5	5	HACL1	0.5113636363636364	False
0.0010067301740203619	0.01098901098901099	0.28620617140959254	0.22664958034904303	T cell	NK	2	6	16	3	13	IFT52	0.5113636363636364	False
0.0005595354829791851	0.01098901098901099	0.08906711727118033	0.22473166368515213	Monocyte	Dendritic cell	2	7	13	4	13	JAK2	0.5113636363636364	False
0.000772472688527986	0.01098901098901099	0.2098980364485573	0.31367211131276473	Plasma cell	T cell	2	7	17	3	17	MAVS	0.5113636363636364	False
0.00025777923003017283	0.01098901098901099	0.30471434857577484	0.4058742030790483	Erythroid	B cell	2	6	10	5	10	NDUFC2	0.5113636363636364	False
0.00019003489206213003	0.01098901098901099	0.16827411352141258	0.17582789422197992	Erythroid	NK	2	7	14	3	13	SAP18	0.5113636363636364	False
0.0024494795337135673	0.01098901098901099	0.21716212085709308	0.21176528165222924	Monocyte	B cell	2	5	6	3	4	UBA6-DT	0.5113636363636364	False
0.00016075806792303446	0.01098901098901099	0.558470283193716	0.7004222003607148	Dendritic cell	B cell	2	5	10	5	9	ZNF22	0.5113636363636364	False
0.000909100036375511	0.01098901098901099	0.2699100378787878	0.27586616041765544	T cell	B cell	2	4	6	3	4	ZNF226	0.5113636363636364	False
0.00021802882220961804	0.011988011988011988	0.2273136668483146	0.2572382687136785	NK	T cell	2	5	12	4	12	ACSL1	0.5113636363636364	False
0.00028526793003116603	0.011988011988011988	0.27648566766257787	0.2740422489767775	NK	Plasma cell	2	7	10	4	10	BDP1	0.5113636363636364	False
8.183704841672486e-05	0.011988011988011988	0.11812260484181625	0.20634778939472076	NK	T cell	2	3	5	4	5	CD247	0.5113636363636364	False
0.00044218187774107854	0.011988011988011988	0.17474829955926596	0.21043317833465536	Plasma cell	Erythroid	2	7	13	8	13	EEF1D	0.5113636363636364	False
0.0019117439916959801	0.011988011988011988	0.09840200170054048	0.18263177853621543	Monocyte	T cell	2	3	5	3	5	EPB41L3	0.5113636363636364	False
0.0007633382870177158	0.011988011988011988	0.2247237949188779	0.3453300507770426	NK	Erythroid	2	7	9	3	9	FAM76B	0.5113636363636364	False
0.003052235426791481	0.011988011988011988	0.21952322270858265	0.20461445051608984	B cell	Monocyte	2	3	4	3	4	HNRNPA0	0.5113636363636364	False
