gse	n_reads	n_distinct_chains	n_molecules
GSE307660	27	10	14
GSE307660	27	12	5
GSE307660	27	16	3
GSE307660	27	17	4
GSE307660	28	10	10
GSE307660	28	11	4
GSE307660	28	12	2
GSE307660	29	9	16
GSE307660	29	10	4
GSE307660	29	11	6
GSE307660	30	9	15
GSE307660	30	10	8
GSE307660	30	11	4
GSE307660	30	14	3
GSE307660	30	17	2
GSE307660	31	9	15
GSE307660	31	10	7
GSE307660	31	11	9
GSE307660	31	12	2
GSE307660	31	13	1
GSE307660	32	10	2
GSE307660	32	12	8
GSE307660	32	17	2
GSE307660	33	9	8
GSE307660	33	10	5
GSE307660	33	11	3
GSE307660	33	16	2
GSE307660	34	10	4
GSE307660	34	11	4
GSE307660	34	12	1
GSE307660	34	13	1
GSE307660	35	9	8
GSE307660	35	11	9
GSE307660	36	10	6
GSE307660	36	11	5
GSE307660	36	15	1
GSE307660	37	10	5
GSE307660	37	17	1
GSE307660	38	11	3
GSE307660	38	13	1
GSE307660	38	14	2
GSE307660	39	10	7
GSE307660	40	10	3
GSE307660	40	11	1
GSE307660	40	12	1
GSE307660	40	17	2
GSE307660	41	10	4
GSE307660	41	11	4
GSE307660	42	11	2
GSE307660	43	15	1
GSE307660	43	16	1
GSE307660	44	1	78
GSE307660	44	10	2
GSE307660	44	11	2
GSE307660	45	1	72
GSE307660	45	10	3
GSE307660	45	11	2
GSE307660	45	12	3
GSE307660	46	15	2
GSE307660	46	17	2
GSE307660	48	1	55
GSE307660	48	12	1
GSE307660	48	16	2
GSE307660	48	18	2
GSE307660	49	17	1
GSE307660	50	10	2
GSE307660	50	12	2
GSE307660	50	14	1
GSE307660	51	1	50
GSE307660	51	11	2
GSE307660	51	12	1
GSE307660	52	1	27
GSE307660	52	9	2
GSE307660	52	10	1
GSE307660	52	12	2
GSE307660	52	13	2
GSE307660	53	16	1
GSE307660	54	1	34
GSE307660	54	12	2
GSE307660	54	17	1
GSE307660	54	23	1
GSE307660	55	11	1
GSE307660	55	14	2
GSE307660	56	1	23
GSE307660	56	11	2
