gene	n_donors	n_studies	n_donors_imbalanced	pooled_depth	pooled_ratio	study_baseline	pooled_deviation	pval	qval	sig_imbalanced	recurrent
HTRA4	21.0	6.0	11.0	1068.0	0.4297752808988764	0.4741050396142907	-0.04432975871541428	0.003716055128969294	0.006351875492274025	False	True
ENSG00000273797	12.0	4.0	11.0	739.0	0.5493910690121786	0.49604959042848684	0.05334147858369176	0.003729018098493705	0.006372577516906092	False	True
ENSG00000248787	13.0	7.0	11.0	801.0	0.5405742821473158	0.48979383746038996	0.050780444686925885	0.004040664623700746	0.006870635652416079	False	True
ENSG00000273729	15.0	6.0	11.0	602.0	0.5498338870431894	0.49158533167266155	0.05824855537052781	0.004253250072676553	0.0072072170049453455	False	True
ALDH1A3-AS1	16.0	9.0	11.0	1024.0	0.5322265625	0.4882160902709304	0.04401047222906962	0.004840622934277569	0.00813364652112971	False	True
GLT8D2	24.0	10.0	11.0	3590.0	0.46545961002785513	0.4888983584917228	-0.023438748463867676	0.004962881222122883	0.008325615429571253	False	True
ISM1	38.0	12.0	11.0	4717.0	0.5028619885520458	0.48257031782260085	0.020291670729444933	0.005287498777867722	0.008836114465760901	False	True
ENSG00000272977	20.0	9.0	11.0	965.0	0.5347150259067357	0.489967655482439	0.04474737042429672	0.005424774833658455	0.009050564095305942	False	True
AATBC	17.0	5.0	11.0	1977.0	0.4891249367728882	0.45801090795999116	0.031114028812897043	0.005491660340352576	0.009153174965889684	False	True
PLPPR3	14.0	7.0	11.0	938.0	0.5266524520255863	0.4813790220510589	0.04527342997452738	0.005518738221746648	0.009196258431686227	False	True
CFAP251	24.0	11.0	11.0	2731.0	0.46246796045404615	0.4889965895412904	-0.026528629087244238	0.005547570295391423	0.009241422199557883	False	True
RETREG1-AS1	17.0	6.0	11.0	2407.0	0.5251350228500208	0.49692402068673475	0.028211002163286036	0.005636981992967822	0.009380762410127254	False	True
ENSG00000278383	19.0	10.0	11.0	2544.0	0.5094339622641509	0.4820568362346286	0.02737712602952236	0.005718870048825	0.009506887762775463	False	True
