study	run	cell_type	class	reads
GSE276974	SRR30639553	B cell	AB	391
GSE276974	SRR30639553	B cell	ABC	411
GSE276974	SRR30639553	B cell	AC	1
GSE276974	SRR30639553	B cell	B	76
GSE276974	SRR30639553	B cell	BC	107
GSE276974	SRR30639553	B cell	C	5
GSE276974	SRR30639553	B cell	RO	71
GSE276974	SRR30639553	B cell	other	13
GSE276974	SRR30639553	Dendritic cell	A	1
GSE276974	SRR30639553	Dendritic cell	ABC	4
GSE276974	SRR30639553	Erythroid	A	2
GSE276974	SRR30639553	Erythroid	AB	5
GSE276974	SRR30639553	Erythroid	ABC	7
GSE276974	SRR30639553	Erythroid	B	27
GSE276974	SRR30639553	Erythroid	BC	1
GSE276974	SRR30639553	Erythroid	RO	120
GSE276974	SRR30639553	Monocyte	A	8
GSE276974	SRR30639553	Monocyte	AB	18
GSE276974	SRR30639553	Monocyte	ABC	10
GSE276974	SRR30639553	Monocyte	B	28
GSE276974	SRR30639553	Monocyte	BC	38
GSE276974	SRR30639553	Monocyte	RO	76
GSE276974	SRR30639553	Monocyte	other	1
GSE276974	SRR30639553	NK	A	195
GSE276974	SRR30639553	NK	AB	395
GSE276974	SRR30639553	NK	ABC	286
GSE276974	SRR30639553	NK	AC	2
GSE276974	SRR30639553	NK	B	120
GSE276974	SRR30639553	NK	BC	194
GSE276974	SRR30639553	NK	C	3
GSE276974	SRR30639553	NK	RO	96
GSE276974	SRR30639553	NK	other	17
GSE276974	SRR30639553	Plasma cell	ABC	8
GSE276974	SRR30639553	Plasma cell	B	4
GSE276974	SRR30639553	Plasma cell	BC	2
GSE276974	SRR30639553	Plasma cell	RO	6
GSE276974	SRR30639553	Progenitor	A	14
GSE276974	SRR30639553	Progenitor	AB	28
GSE276974	SRR30639553	Progenitor	ABC	11
GSE276974	SRR30639553	Progenitor	B	27
GSE276974	SRR30639553	Progenitor	BC	5
GSE276974	SRR30639553	Progenitor	C	1
GSE276974	SRR30639553	Progenitor	RO	148
GSE276974	SRR30639553	T cell	A	52
GSE276974	SRR30639553	T cell	AB	98
GSE276974	SRR30639553	T cell	ABC	28
GSE276974	SRR30639553	T cell	B	376
GSE276974	SRR30639553	T cell	BC	56
GSE276974	SRR30639553	T cell	C	2
GSE276974	SRR30639553	T cell	RO	929
GSE276974	SRR30639553	T cell	other	25
GSE276974	SRR30639553	Unassigned	A	33
GSE276974	SRR30639553	Unassigned	AB	33
GSE276974	SRR30639553	Unassigned	ABC	3
GSE276974	SRR30639553	Unassigned	B	107
GSE276974	SRR30639553	Unassigned	BC	11
GSE276974	SRR30639553	Unassigned	C	2
GSE276974	SRR30639553	Unassigned	RO	791
GSE276974	SRR30639553	Unassigned	other	9
GSE276974	SRR30639554	B cell	A	82
GSE276974	SRR30639554	B cell	AB	533
GSE276974	SRR30639554	B cell	ABC	733
GSE276974	SRR30639554	B cell	AC	1
GSE276974	SRR30639554	B cell	B	80
GSE276974	SRR30639554	B cell	BC	123
GSE276974	SRR30639554	B cell	RO	46
GSE276974	SRR30639554	B cell	other	9
GSE276974	SRR30639554	Dendritic cell	ABC	9
GSE276974	SRR30639554	Dendritic cell	BC	3
GSE276974	SRR30639554	Dendritic cell	other	1
GSE276974	SRR30639554	Erythroid	AB	8
GSE276974	SRR30639554	Erythroid	ABC	13
GSE276974	SRR30639554	Erythroid	B	12
GSE276974	SRR30639554	Erythroid	BC	2
GSE276974	SRR30639554	Erythroid	RO	30
GSE276974	SRR30639554	Monocyte	A	4
GSE276974	SRR30639554	Monocyte	AB	11
GSE276974	SRR30639554	Monocyte	ABC	4
GSE276974	SRR30639554	Monocyte	B	157
GSE276974	SRR30639554	Monocyte	BC	21
GSE276974	SRR30639554	Monocyte	RO	82
GSE276974	SRR30639554	Monocyte	other	9
GSE276974	SRR30639554	NK	A	409
GSE276974	SRR30639554	NK	AB	1317
GSE276974	SRR30639554	NK	ABC	2297
GSE276974	SRR30639554	NK	AC	7
GSE276974	SRR30639554	NK	B	1289
GSE276974	SRR30639554	NK	BC	1119
GSE276974	SRR30639554	NK	C	1
GSE276974	SRR30639554	NK	RO	984
GSE276974	SRR30639554	NK	other	69
GSE276974	SRR30639554	Plasma cell	B	6
GSE276974	SRR30639554	Plasma cell	RO	5
GSE276974	SRR30639554	Progenitor	A	9
GSE276974	SRR30639554	Progenitor	AB	2
GSE276974	SRR30639554	Progenitor	ABC	18
GSE276974	SRR30639554	Progenitor	B	43
GSE276974	SRR30639554	Progenitor	BC	29
GSE276974	SRR30639554	Progenitor	RO	28
GSE276974	SRR30639554	T cell	A	20
GSE276974	SRR30639554	T cell	AB	35
GSE276974	SRR30639554	T cell	ABC	16
GSE276974	SRR30639554	T cell	B	214
GSE276974	SRR30639554	T cell	BC	54
GSE276974	SRR30639554	T cell	RO	363
GSE276974	SRR30639554	T cell	other	8
GSE276974	SRR30639554	Unassigned	A	98
GSE276974	SRR30639554	Unassigned	AB	297
GSE276974	SRR30639554	Unassigned	ABC	58
GSE276974	SRR30639554	Unassigned	AC	1
GSE276974	SRR30639554	Unassigned	B	820
GSE276974	SRR30639554	Unassigned	BC	116
GSE276974	SRR30639554	Unassigned	C	3
GSE276974	SRR30639554	Unassigned	RO	1419
GSE276974	SRR30639554	Unassigned	other	27
GSE276974	SRR30639556	B cell	A	121
GSE276974	SRR30639556	B cell	AB	569
GSE276974	SRR30639556	B cell	ABC	683
GSE276974	SRR30639556	B cell	AC	4
GSE276974	SRR30639556	B cell	B	104
GSE276974	SRR30639556	B cell	BC	129
GSE276974	SRR30639556	B cell	RO	118
GSE276974	SRR30639556	B cell	other	23
GSE276974	SRR30639556	Dendritic cell	AB	12
GSE276974	SRR30639556	Dendritic cell	ABC	6
GSE276974	SRR30639556	Dendritic cell	B	5
GSE276974	SRR30639556	Dendritic cell	RO	13
GSE276974	SRR30639556	Dendritic cell	other	2
GSE276974	SRR30639556	Erythroid	AB	4
GSE276974	SRR30639556	Erythroid	ABC	5
GSE276974	SRR30639556	Erythroid	B	23
GSE276974	SRR30639556	Erythroid	RO	17
GSE276974	SRR30639556	Erythroid	other	3
GSE276974	SRR30639556	Monocyte	AB	38
GSE276974	SRR30639556	Monocyte	ABC	27
GSE276974	SRR30639556	Monocyte	B	146
GSE276974	SRR30639556	Monocyte	BC	6
GSE276974	SRR30639556	Monocyte	RO	108
GSE276974	SRR30639556	Monocyte	other	6
GSE276974	SRR30639556	NK	A	397
GSE276974	SRR30639556	NK	AB	1447
GSE276974	SRR30639556	NK	ABC	2355
GSE276974	SRR30639556	NK	AC	15
GSE276974	SRR30639556	NK	B	1388
GSE276974	SRR30639556	NK	BC	1228
GSE276974	SRR30639556	NK	C	17
GSE276974	SRR30639556	NK	RO	559
GSE276974	SRR30639556	NK	other	68
GSE276974	SRR30639556	Plasma cell	A	6
GSE276974	SRR30639556	Plasma cell	AB	4
GSE276974	SRR30639556	Plasma cell	B	2
GSE276974	SRR30639556	Progenitor	A	6
GSE276974	SRR30639556	Progenitor	AB	16
GSE276974	SRR30639556	Progenitor	ABC	20
GSE276974	SRR30639556	Progenitor	B	77
GSE276974	SRR30639556	Progenitor	BC	4
GSE276974	SRR30639556	Progenitor	RO	79
GSE276974	SRR30639556	Progenitor	other	4
GSE276974	SRR30639556	T cell	A	44
GSE276974	SRR30639556	T cell	AB	146
GSE276974	SRR30639556	T cell	ABC	132
GSE276974	SRR30639556	T cell	B	604
GSE276974	SRR30639556	T cell	BC	107
GSE276974	SRR30639556	T cell	RO	1085
GSE276974	SRR30639556	T cell	other	34
GSE276974	SRR30639556	Unassigned	A	114
GSE276974	SRR30639556	Unassigned	AB	346
GSE276974	SRR30639556	Unassigned	ABC	29
GSE276974	SRR30639556	Unassigned	B	772
GSE276974	SRR30639556	Unassigned	BC	87
GSE276974	SRR30639556	Unassigned	RO	1656
GSE276974	SRR30639556	Unassigned	other	35
GSE276974	SRR30639557	B cell	A	127
GSE276974	SRR30639557	B cell	AB	661
GSE276974	SRR30639557	B cell	ABC	708
GSE276974	SRR30639557	B cell	AC	8
GSE276974	SRR30639557	B cell	B	89
GSE276974	SRR30639557	B cell	BC	180
GSE276974	SRR30639557	B cell	RO	60
GSE276974	SRR30639557	B cell	other	15
GSE276974	SRR30639557	Dendritic cell	A	2
GSE276974	SRR30639557	Dendritic cell	ABC	24
GSE276974	SRR30639557	Dendritic cell	BC	3
GSE276974	SRR30639557	Dendritic cell	RO	4
GSE276974	SRR30639557	Erythroid	A	1
GSE276974	SRR30639557	Erythroid	B	15
GSE276974	SRR30639557	Erythroid	BC	12
GSE276974	SRR30639557	Erythroid	RO	59
GSE276974	SRR30639557	Monocyte	A	8
GSE276974	SRR30639557	Monocyte	ABC	11
GSE276974	SRR30639557	Monocyte	B	210
GSE276974	SRR30639557	Monocyte	BC	22
GSE276974	SRR30639557	Monocyte	C	7
GSE276974	SRR30639557	Monocyte	RO	154
GSE276974	SRR30639557	Monocyte	other	2
GSE276974	SRR30639557	NK	A	386
GSE276974	SRR30639557	NK	AB	1451
GSE276974	SRR30639557	NK	ABC	2289
GSE276974	SRR30639557	NK	AC	12
GSE276974	SRR30639557	NK	B	1259
GSE276974	SRR30639557	NK	BC	1218
GSE276974	SRR30639557	NK	C	3
GSE276974	SRR30639557	NK	RO	450
GSE276974	SRR30639557	NK	other	61
GSE276974	SRR30639557	Progenitor	A	6
GSE276974	SRR30639557	Progenitor	AB	9
GSE276974	SRR30639557	Progenitor	ABC	16
GSE276974	SRR30639557	Progenitor	B	101
GSE276974	SRR30639557	Progenitor	BC	11
GSE276974	SRR30639557	Progenitor	RO	105
GSE276974	SRR30639557	Progenitor	other	1
GSE276974	SRR30639557	T cell	A	45
GSE276974	SRR30639557	T cell	AB	152
GSE276974	SRR30639557	T cell	ABC	159
GSE276974	SRR30639557	T cell	B	556
GSE276974	SRR30639557	T cell	BC	163
GSE276974	SRR30639557	T cell	RO	1361
GSE276974	SRR30639557	T cell	other	22
GSE276974	SRR30639557	Unassigned	A	98
GSE276974	SRR30639557	Unassigned	AB	331
GSE276974	SRR30639557	Unassigned	ABC	65
GSE276974	SRR30639557	Unassigned	B	1028
GSE276974	SRR30639557	Unassigned	BC	99
GSE276974	SRR30639557	Unassigned	C	2
GSE276974	SRR30639557	Unassigned	RO	1646
GSE276974	SRR30639557	Unassigned	other	21
